ENSCAFP00000022869	20	48657295	48657639	9973971	9974300
ENSCAFP00000007278	20	8754413	8760252	19973947	19974329
ENSCAFP00000007278	20	8754413	8760252	34041669	34042070
ENSCAFP00000022869	20	48657295	48657639	47635292	47635608
ENSCAFP00000023257	20	49496874	49497824	49472388	49473059
ENSCAFP00000031733	20	50682544	50683978	50233928	50234853
ENSCAFP00000031163	20	50762721	50764416	50326987	50327949
ENSCAFP00000023920	20	50784189	50786973	50751644	50752574
ENSCAFP00000023900	20	50581095	50582398	50776380	50777302
ENSCAFP00000023882	20	50148824	50150535	50803098	50804013
ENSCAFP00000031309	20	59326517	59352199	59386149	59387765
ENSCAFP00000011824	20	36192938	36194413	4440766	4441320
ENSCAFP00000028500	20	59300136	59303596	12876192	12877475
ENSCAFP00000014809	20	40839854	40840300	40884903	40885274
ENSCAFP00000032512	20	50502607	50504456	50295342	50296329
ENSCAFP00000030544	20	50244803	50248704	50386042	50386974
ENSCAFP00000023916	20	50741328	50745787	50416558	50417398
ENSCAFP00000030544	20	50244803	50248704	50482393	50483321
ENSCAFP00000023884	20	50459542	50459877	50618970	50619305
ENSCAFP00000031163	20	50762721	50764416	50730998	50731954
ENSCAFP00000026764	20	54590770	54591920	54387731	54388597
ENSCAFP00000030332	20	54398178	54399823	54407814	54408776
ENSCAFP00000026772	20	54721698	54722932	54697893	54698840
ENSCAFP00000012540	20	55017051	55017436	54906211	54906519
ENSCAFP00000026798	20	54878862	54879425	56214761	56215222
ENSCAFP00000000720	11	3922472	3926244	3534076	3535244
ENSCAFP00000032387	11	3792940	3839334	3875104	3876244
ENSCAFP00000032718	11	46032039	46034334	4365730	4366207
ENSCAFP00000021094	11	14409283	14421305	12514640	12515366
ENSCAFP00000003053	11	55226884	55229770	13410757	13411647
ENSCAFP00000021094	11	14409283	14421305	13935642	13936368
ENSCAFP00000035465	11	53963620	53965718	25993552	25993819
ENSCAFP00000005314	11	76886375	76903992	30678332	30679833
ENSCAFP00000002873	11	54386847	54388748	54370024	54370316
ENSCAFP00000003919	11	63537298	63538366	63521255	63522202
ENSCAFP00000001042	11	22400779	22560252	75032267	75032656
ENSCAFP00000032387	11	3792940	3839334	3556135	3557311
ENSCAFP00000032926	11	3556343	3557325	3838363	3839337
ENSCAFP00000018634	11	3511709	3513176	3904344	3905415
ENSCAFP00000021094	11	14409283	14421305	11865529	11866051
ENSCAFP00000021094	11	14409283	14421305	12225928	12226654
ENSCAFP00000021094	11	14409283	14421305	12601391	12602117
ENSCAFP00000035465	11	53963620	53965718	13058720	13059109
ENSCAFP00000000343	11	6358146	6363428	13617799	13618447
ENSCAFP00000021094	11	14409283	14421305	14129901	14130627
ENSCAFP00000002355	11	42189882	42193576	17568502	17569232
ENSCAFP00000002660	11	53184451	53195698	35619951	35621098
ENSCAFP00000003319	11	55653038	55662141	54729326	54729768
ENSCAFP00000035465	11	53963620	53965718	54826924	54827309
ENSCAFP00000003867	12	38580164	38583692	36113409	36114797
ENSCAFP00000001357	12	5716348	5722047	43210189	43210563
ENSCAFP00000003857	12	38415301	38416202	49621870	49622189
ENSCAFP00000000881	12	4213090	4218523	49834977	49835708
